id,oomp_key,id_no_class,id_no_type,md5_6,md5_6_upper,name,short_code,short_code_upper,classification,type,type_first_letter,type_first_letter_upper,size,size_only_numbers,size_only_numbers_no_zeros,color,description_main,description_only_numbers,description_only_numbers_short,description_extra,manufacturer,part_number,short_name
electronic_resistor_0805_270_ohm,oomp_electronic_resistor_0805_270_ohm,resistor_0805_270_ohm,0805_270_ohm,f5c2b8,F5C2B8,Electronic Resistor 0805 270 Ohm,r8o271,R8O271,electronic,resistor,r,R,0805,0805,85,,270_ohm,270,270,,,,
electronic_resistor_0805_330_ohm,oomp_electronic_resistor_0805_330_ohm,resistor_0805_330_ohm,0805_330_ohm,ef20c6,EF20C6,Electronic Resistor 0805 330 Ohm,r8o331,R8O331,electronic,resistor,r,R,0805,0805,85,,330_ohm,330,330,,,,
electronic_resistor_0805_3300_ohm,oomp_electronic_resistor_0805_3300_ohm,resistor_0805_3300_ohm,0805_3300_ohm,5e7c51,5E7C51,Electronic Resistor 0805 3300 Ohm,r8o332,R8O332,electronic,resistor,r,R,0805,0805,85,,3300_ohm,3300,3k3,,,,
electronic_resistor_0805_12000_ohm,oomp_electronic_resistor_0805_12000_ohm,resistor_0805_12000_ohm,0805_12000_ohm,791b04,791B04,Electronic Resistor 0805 12000 Ohm,r8o123,R8O123,electronic,resistor,r,R,0805,0805,85,,12000_ohm,12000,1k2,,,,
electronic_resistor_0805_1000000_ohm,oomp_electronic_resistor_0805_1000000_ohm,resistor_0805_1000000_ohm,0805_1000000_ohm,c27a2f,C27A2F,Electronic Resistor 0805 1000000 Ohm,r8o105,R8O105,electronic,resistor,r,R,0805,0805,85,,1000000_ohm,1000000,1.0M,,,,
