index,oomp_id,quantity,part_number_distributor,price_paid
1,electronic_socket_usb_a_through_hole,10,C2345,$0.0537
2,electronic_switch_slide_2_8_mm_x_8_mm_x_1_4_mm_surface_mount_single_pole_double_throw,50,C431540,$0.0459
3,electronic_ic_msop_10_multiplexer_usb_multiplexer_two_to_one_jiangsu_runic_tech_rs2227xn,5,C255478,$0.3020
4,electronic_ic_tssop_8_multiplexer_power_multiplexer_texas_instruments_tps2113apw,3,C130052,$1.48
5,electronic_socket_usb_micro_surface_mount,50,C319160,$0.0649
6,electronic_capacitor_8_mm_diameter_6_5_mm_tall_electrolytic_220_micro_farad_10_volt,10,C249496,$0.1182
7,electronic_resistor_1206_0_ohm,5000,C17888,$0.0018
