id,oomp_key,id_no_class,id_no_type,md5_6,md5_6_alpha_upper,md5_6_upper,name,short_code,short_code_upper,classification,type,type_first_letter,type_first_letter_upper,size,size_only_numbers,size_only_numbers_no_zeros,color,description_main,description_only_numbers,description_only_numbers_short,description_extra,manufacturer,part_number,short_name,description_or_color,description_or_color_upper
electronic_led_0603_white,oomp_electronic_led_0603_white,led_0603_white,0603_white,38354b,26YBV,38354B,Electronic Led 0603 White,l6w,L6W,electronic,led,l,L,0603,0603,63,white,,, ,,,,0603 White Led,W ,W 
electronic_resistor_0603_150000_ohm,oomp_electronic_resistor_0603_150000_ohm,resistor_0603_150000_ohm,0603_150000_ohm,2edd86,1TTVQ,2EDD86,Electronic Resistor 0603 150000 Ohm,r6o154,R6O154,electronic,resistor,r,R,0603,0603,63,,150000_ohm,150000,150k,,,,,150k,150K
electronic_resistor_0603_470000_ohm,oomp_electronic_resistor_0603_470000_ohm,resistor_0603_470000_ohm,0603_470000_ohm,fa6800,9RQIO,FA6800,Electronic Resistor 0603 470000 Ohm,r6o474,R6O474,electronic,resistor,r,R,0603,0603,63,,470000_ohm,470000,470k,,,,,470k,470K
