id,oomp_key,id_no_class,id_no_type,md5_6,md5_6_upper,name,short_code,short_code_upper,classification,type,type_first_letter,type_first_letter_upper,size,size_only_numbers,size_only_numbers_no_zeros,color,description_main,description_only_numbers,description_only_numbers_short,description_extra,manufacturer,part_number,short_name
electronic_ic_soic_28_wide_led_driver_led_matrix_driver_16_x_8_wuxi_i_core_electronics_co_ltd_aip1640,oomp_electronic_ic_soic_28_wide_led_driver_led_matrix_driver_16_x_8_wuxi_i_core_electronics_co_ltd_aip1640,ic_soic_28_wide_led_driver_led_matrix_driver_16_x_8_wuxi_i_core_electronics_co_ltd_aip1640,so28_wide_led_driver_led_matrix_driver_16_x_8_wuxi_i_core_electronics_co_ltd_aip1640,0f044b,0F044B,Electronic Ic Soic 28 Wide Led Driver Led Matrix Driver 16 X 8 Wuxi I Core Electronics Co Ltd Aip1640,isoic28waip1640,ISOIC28WAIP1640,electronic,ic,i,I,soic_28_wide,28,28,led_driver,led_matrix_driver_16_x_8,168,168,,wuxi_i_core_electronics_co_ltd,aip1640,16x8 led matrix driver (aip1640)
electronic_interposer_soic_14_wide_i2c_helicopter,oomp_electronic_interposer_soic_14_wide_i2c_helicopter,interposer_soic_14_wide_i2c_helicopter,soic_14_wide_i2c_helicopter,674569,674569,Electronic Interposer Soic 14 Wide I2C Helicopter,insoic14wi2cheli,INSOIC14WI2CHELI,electronic,interposer,i,I,soic_14_wide,14,14,,i2c,2,2,helicopter,,,
electronic_interposer_soic_14_wide_i2c_landing,oomp_electronic_interposer_soic_14_wide_i2c_landing,interposer_soic_14_wide_i2c_landing,soic_14_wide_i2c_landing,3cf65e,3CF65E,Electronic Interposer Soic 14 Wide I2C Landing,insoic14wi2cland,INSOIC14WI2CLAND,electronic,interposer,i,I,soic_14_wide,14,14,,i2c,2,2,landing,,,
