id,oomp_key,id_no_class,id_no_type,md5_6,md5_6_upper,name,short_code,short_code_upper,classification,type,type_first_letter,type_first_letter_upper,size,size_only_numbers,size_only_numbers_no_zeros,color,description_main,description_only_numbers,description_only_numbers_short,description_extra,manufacturer,part_number,short_name
electronic_led_0603_red,oomp_electronic_led_0603_red,led_0603_red,0603_red,255611,255611,Electronic Led 0603 Red,l6r,L6R,electronic,led,l,L,0603,0603,63,red,,,0,,,,0603 Red Led
electronic_led_0603_white,oomp_electronic_led_0603_white,led_0603_white,0603_white,38354b,38354B,Electronic Led 0603 White,l6w,L6W,electronic,led,l,L,0603,0603,63,white,,,0,,,,0603 White Led
electronic_resistor_0603_1200_ohm,oomp_electronic_resistor_0603_1200_ohm,resistor_0603_1200_ohm,0603_1200_ohm,1db8ad,1DB8AD,Electronic Resistor 0603 1200 Ohm,r6o122,R6O122,electronic,resistor,r,R,0603,0603,63,,1200_ohm,1200,1k2,,,,
electronic_resistor_0603_3900_ohm,oomp_electronic_resistor_0603_3900_ohm,resistor_0603_3900_ohm,0603_3900_ohm,5dfede,5DFEDE,Electronic Resistor 0603 3900 Ohm,r6o392,R6O392,electronic,resistor,r,R,0603,0603,63,,3900_ohm,3900,3k9,,,,
electronic_resistor_0603_56000_ohm,oomp_electronic_resistor_0603_56000_ohm,resistor_0603_56000_ohm,0603_56000_ohm,5e9924,5E9924,Electronic Resistor 0603 56000 Ohm,r6o563,R6O563,electronic,resistor,r,R,0603,0603,63,,56000_ohm,56000,5k6,,,,
