id,short_code,name,github_link,oomp_key,md5_6
electronic_header_2d54_mm_1_pin_surface_mount_right_angle,hi11psmra,Electronic Header 2D54 Mm 1 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_1_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_1_pin_surface_mount_right_angle,d33bf5
electronic_header_2d54_mm_2_pin_right_angle,hi12pra,Electronic Header 2D54 Mm 2 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_2_pin_right_angle,oomp_electronic_header_2d54_mm_2_pin_right_angle,aee924
electronic_header_2d54_mm_2_pin_surface_mount,hi12psm,Electronic Header 2D54 Mm 2 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_2_pin_surface_mount,oomp_electronic_header_2d54_mm_2_pin_surface_mount,83ae66
electronic_header_2d54_mm_2_pin,hi12p,Electronic Header 2D54 Mm 2 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_2_pin,oomp_electronic_header_2d54_mm_2_pin,2b64b1
electronic_header_2d54_mm_2_pin_surface_mount_right_angle,hi12psmra,Electronic Header 2D54 Mm 2 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_2_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_2_pin_surface_mount_right_angle,581579
electronic_header_2d54_mm_3_pin_right_angle,hi13pra,Electronic Header 2D54 Mm 3 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_3_pin_right_angle,oomp_electronic_header_2d54_mm_3_pin_right_angle,64f7c3
electronic_header_2d54_mm_3_pin_surface_mount,hi13psm,Electronic Header 2D54 Mm 3 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_3_pin_surface_mount,oomp_electronic_header_2d54_mm_3_pin_surface_mount,5343dc
electronic_header_2d54_mm_3_pin,hi13p,Electronic Header 2D54 Mm 3 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_3_pin,oomp_electronic_header_2d54_mm_3_pin,7a0820
electronic_header_2d54_mm_3_pin_surface_mount_right_angle,hi13psmra,Electronic Header 2D54 Mm 3 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_3_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_3_pin_surface_mount_right_angle,1b3fc3
electronic_header_2d54_mm_4_pin_right_angle,hi14pra,Electronic Header 2D54 Mm 4 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_4_pin_right_angle,oomp_electronic_header_2d54_mm_4_pin_right_angle,756846
electronic_header_2d54_mm_4_pin_surface_mount,hi14psm,Electronic Header 2D54 Mm 4 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_4_pin_surface_mount,oomp_electronic_header_2d54_mm_4_pin_surface_mount,defd17
electronic_header_2d54_mm_4_pin,hi14p,Electronic Header 2D54 Mm 4 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_4_pin,oomp_electronic_header_2d54_mm_4_pin,abf4a4
electronic_header_2d54_mm_4_pin_surface_mount_right_angle,hi14psmra,Electronic Header 2D54 Mm 4 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_4_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_4_pin_surface_mount_right_angle,70c043
electronic_header_2d54_mm_5_pin_right_angle,hi15pra,Electronic Header 2D54 Mm 5 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_5_pin_right_angle,oomp_electronic_header_2d54_mm_5_pin_right_angle,6dc288
electronic_header_2d54_mm_5_pin_surface_mount,hi15psm,Electronic Header 2D54 Mm 5 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_5_pin_surface_mount,oomp_electronic_header_2d54_mm_5_pin_surface_mount,feae7c
electronic_header_2d54_mm_5_pin,hi15p,Electronic Header 2D54 Mm 5 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_5_pin,oomp_electronic_header_2d54_mm_5_pin,f32ac7
electronic_header_2d54_mm_5_pin_surface_mount_right_angle,hi15psmra,Electronic Header 2D54 Mm 5 Pin Surface Mount Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_5_pin_surface_mount_right_angle,oomp_electronic_header_2d54_mm_5_pin_surface_mount_right_angle,b1ace7
electronic_header_2d54_mm_6_pin_right_angle,hi16pra,Electronic Header 2D54 Mm 6 Pin Right Angle,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_6_pin_right_angle,oomp_electronic_header_2d54_mm_6_pin_right_angle,9cdd15
electronic_header_2d54_mm_6_pin_surface_mount,hi16psm,Electronic Header 2D54 Mm 6 Pin Surface Mount,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_6_pin_surface_mount,oomp_electronic_header_2d54_mm_6_pin_surface_mount,187973
electronic_header_2d54_mm_6_pin,hi16p,Electronic Header 2D54 Mm 6 Pin,https://github.com/oomlout/oomlout_oomp_part_src/tree/main/parts/electronic_header_2d54_mm_6_pin,oomp_electronic_header_2d54_mm_6_pin,8d109f
